497, 292, 1, 0
997, 358, 1, 0
1496, 320, 1, 0
1997, 311, 1, 0
2496, 270, 1, 0
2997, 265, 1, 0
3496, 463, 1, 0
3997, 241, 1, 0
4497, 344, 1, 0
4996, 332, 1, 0
5497, 338, 1, 0
5996, 310, 1, 0
6497, 356, 1, 0
6997, 315, 1, 0
7496, 413, 1, 0
7996, 258, 1, 0
8497, 265, 1, 0
8997, 265, 1, 0
9496, 401, 1, 0
9997, 317, 1, 0
10496, 336, 1, 0
10997, 305, 1, 0
11497, 265, 1, 0
11996, 262, 1, 0
12497, 350, 1, 0
12997, 313, 1, 0
13496, 306, 1, 0
13997, 372, 1, 0
14497, 366, 1, 0
14996, 336, 1, 0
15497, 305, 1, 0
15997, 311, 1, 0
16497, 283, 1, 0
16996, 300, 1, 0
17497, 289, 1, 0
17997, 382, 1, 0
18496, 366, 1, 0
18997, 287, 1, 0
19497, 321, 1, 0
19996, 352, 1, 0
20497, 257, 1, 0
20997, 346, 1, 0
21496, 324, 1, 0
21997, 307, 1, 0
22497, 390, 1, 0
22996, 318, 1, 0
23497, 325, 1, 0
23997, 374, 1, 0
24496, 316, 1, 0
24996, 364, 1, 0
25497, 307, 1, 0
25997, 327, 1, 0
26497, 356, 1, 0
26996, 328, 1, 0
27497, 307, 1, 0
27997, 372, 1, 0
28497, 368, 1, 0
28996, 356, 1, 0
29497, 342, 1, 0
29997, 368, 1, 0
30497, 293, 1, 0
30996, 328, 1, 0
31497, 348, 1, 0
31997, 370, 1, 0
32497, 291, 1, 0
32996, 391, 1, 0
33497, 319, 1, 0
33997, 368, 1, 0
34496, 314, 1, 0
34996, 354, 1, 0
35497, 301, 1, 0
35997, 263, 1, 0
36497, 338, 1, 0
36996, 381, 1, 0
37497, 384, 1, 0
37997, 334, 1, 0
38497, 354, 1, 0
38996, 294, 1, 0
39496, 340, 1, 0
39997, 348, 1, 0
40497, 336, 1, 0
40997, 358, 1, 0
41496, 366, 1, 0
41996, 346, 1, 0
42497, 362, 1, 0
42997, 410, 1, 0
43497, 374, 1, 0
43996, 344, 1, 0
44496, 370, 1, 0
44997, 327, 1, 0
45497, 265, 1, 0
45997, 362, 1, 0
46496, 324, 1, 0
46997, 294, 1, 0
47497, 434, 1, 0
47997, 319, 1, 0
48497, 325, 1, 0
48996, 320, 1, 0
49497, 321, 1, 0
49997, 273, 1, 0
50497, 414, 1, 0
50997, 420, 1, 0
51496, 308, 1, 0
51997, 314, 1, 0
52497, 319, 1, 0
52997, 279, 1, 0
53496, 284, 1, 0
53996, 340, 1, 0
54497, 342, 1, 0
54997, 277, 1, 0
55497, 352, 1, 0
55996, 356, 1, 0
56496, 344, 1, 0
56997, 313, 1, 0
57497, 372, 1, 0
57996, 403, 1, 0
58496, 381, 1, 0
58997, 275, 1, 0
59497, 412, 1, 0
59997, 388, 1, 0
